symbol,side,sector,lev,entry_kst,exit_kst,entry_ts,exit_ts,hold_h,entry_hour_kst,n_entries,n_exits,taker_ratio,notional,margin,gross_pnl,fee,net_pnl,roe,liquidation,regime,btc_adx,btc_atr_pct,btc_move_pct,day
CNPY/USDT:USDT,long,alt,3,09-15 12:01,09-15 22:34,1789441271.906,1789479278.824,10.557477222217454,12,9,10,1.0,461.049,153.683,23.166999999999707,-0.34029539999999997,22.826704599999708,0.14853109712850288,False,trend_up,25.3,0.53,0.0,09-15
CNPY/USDT:USDT,long,alt,3,09-16 12:31,09-16 16:42,1789529462.913,1789544536.404,4.187080833315849,12,6,16,1.0,500.47300000000007,166.82433333333336,-17.86300000000021,-0.35390987999999995,-18.21690988000021,-0.10919815782270097,False,trend_up,25.3,0.53,0.0,09-16
CNPY/USDT:USDT,long,alt,3,09-18 17:00,09-18 18:00,1789718447.639,1789722024.91,0.993686388929685,17,6,7,1.0,159.14099999999996,53.04699999999999,7.224999999999979,-0.11718252,7.107817479999979,0.13399094161781025,False,trend_up,25.3,0.53,0.0,09-18
HYPE/USDT:USDT,long,alt,3,09-14 11:30,09-15 13:31,1789353017.339,1789446695.518,26.02171638886134,11,2,32,1.0,1026.532,342.1773333333333,6.812399999999997,-0.7415555040000005,6.070844495999996,0.01774180784232736,False,trend_up,24.0,0.41,1.49,09-15
ZEC/USDT:USDT,long,alt,3,09-16 18:01,09-16 22:44,1789549277.886,1789566254.489,4.71572305560112,18,1,12,1.0,1507.6678,502.5559333333333,78.9468,-1.1139416640000002,77.832858336,0.15487402132485684,False,trend_up,25.3,0.53,0.0,09-16
DGAI/USDT:USDT,long,alt,3,09-16 18:00,09-16 21:57,1789549213.553,1789563458.491,3.9569272222121556,18,8,5,1.0,1196.712,398.904,60.09999999999959,-0.8832686399999999,59.21673135999959,0.14844857750235543,False,trend_up,25.3,0.53,0.0,09-16
USELESS/USDT:USDT,long,alt,3,09-16 12:31,09-16 16:01,1789529470.847,1789542109.595,3.5107633333735997,12,9,8,1.0,986.0454000000002,328.68180000000007,54.28989999999902,-0.729497052,53.56040294799902,0.16295518324409508,False,trend_up,25.3,0.53,0.0,09-16
USELESS/USDT:USDT,long,alt,3,09-16 17:00,09-16 19:23,1789545609.352,1789554195.021,2.384908055530654,17,9,1,1.0,780.1783999999998,260.0594666666666,-23.022800000000316,-0.55344024,-23.576240240000317,-0.09065711216819251,False,trend_up,25.3,0.53,0.0,09-16
IOST/USDT:USDT,long,alt,3,09-16 17:00,09-16 19:07,1789545625.981,1789553232.727,2.112985000014305,17,16,9,1.0,1040.3085999999998,346.7695333333333,-29.4044000002768,-0.7384366080000001,-30.142836608276802,-0.08692469698398188,False,trend_up,25.3,0.53,0.0,09-16
XLM/USDT:USDT,long,alt,3,09-15 12:01,09-15 23:52,1789441282.792,1789483923.933,11.844761388897895,12,26,23,1.0,2203.3255,734.4418333333333,-72.71450000000524,-1.5602171399999996,-74.27471714000525,-0.10113083673747512,False,trend_up,25.3,0.53,0.0,09-15
UNI/USDT:USDT,long,alt,3,09-15 13:31,09-15 23:40,1789446697.285,1789483247.766,10.152911388874054,13,6,16,1.0,2373.48,791.16,-117.632,-1.6665580800000002,-119.29855808,-0.15078942069872087,False,trend_up,25.3,0.53,0.0,09-15
OP/USDT:USDT,long,alt,3,09-15 14:30,09-15 16:00,1789450244.583,1789455636.199,1.4976711110936272,14,22,27,1.0,1682.5954700000002,560.8651566666667,-24.27642000000875,-1.2027292271999996,-25.479149227208747,-0.04542829755842991,False,trend_up,25.3,0.53,0.0,09-15
OKB/USDT:USDT,long,alt,3,09-14 10:07,09-15 10:01,1789348057.997,1789434094.099,23.89891722222169,10,26,19,1.0,959.4534000000003,319.8178000000001,-5.347000000000001,-0.688881528,-6.035881528000001,-0.018872875518498342,False,trend_down,25.3,0.38,2.14,09-15
BZ/USDT:USDT,long,alt,3,09-14 04:38,09-15 02:30,1789328327.561,1789407022.434,21.859686944418485,4,1,3,1.0,305.9665,101.98883333333333,-1.4743,-0.21976513199999997,-1.694065132,-0.016610300134165014,False,trend_up,20.6,0.28,1.92,09-15
API3/USDT:USDT,long,alt,3,09-14 10:00,09-14 19:36,1789347640.693,1789382189.46,9.596879722211096,10,6,5,1.0,292.7138,97.57126666666666,-8.198100000000153,-0.20780262000000005,-8.405902620000154,-0.08615141431664808,False,trend_down,25.3,0.38,1.02,09-14
SOL/USDT:USDT,short,major,5,09-14 09:38,09-14 18:52,1789346326.831,1789379539.07,9.225621944400999,9,1,1,1.0,79.70400000000001,15.940800000000001,-2.008,-0.058109759999999996,-2.06610976,-0.12961142226237074,False,trend_down,23.9,0.35,1.74,09-14
BTC/USDT:USDT,short,major,5,09-14 09:38,09-14 13:00,1789346324.389,1789358407.499,3.356419444481532,9,2,2,1.0,76.75019999999999,15.350039999999998,-0.8196699999999999,-0.0555552252,-0.8752252251999999,-0.05701778139991818,False,trend_down,23.9,0.35,1.14,09-14
ENA/USDT:USDT,short,alt,5,09-12 17:30,09-13 00:14,1789201824.694,1789226066.848,6.733931666678853,17,5,1,1.0,113.7053,22.741059999999997,-1.13469999999992,-0.08227630799999999,-1.21697630799992,-0.05351449351964773,False,chop,11.7,0.45,0.04,09-13
ENA/USDT:USDT,short,alt,5,09-14 04:38,09-14 12:00,1789328324.635,1789354859.192,7.370710277756055,4,9,38,1.0,305.47,61.09400000000001,-3.5821,-0.22122795599999998,-3.803327956,-0.062253706681507176,False,trend_up,20.6,0.28,0.41,09-14
